;REVERSE;REVERSE 2.0;Multilevel CLASSIC ;Multilevel DUAL;Multilevel MAX ;Multilevel STRUK ;DUAL;DUAL MINI;LIGHT MINI;Novel mini;REGULAR;STRONG;REGULAR;LIGHT;LIGHT Doors;REVERSE;CLASSIC;MICRO;REGULAR;CLASSIC;ULTRA;GARDINA;ROLL-BOX;UNIVERSAL GIPS BASE 108x58;UNIVERSAL PANEL BASE 108x58;UNIVERSAL GIPS;UNIVERSAL PANEL;NOVEL CLASSIC LIGHT;NOVEL XL;Miro 11;Miro 15;Miro 19;Miro L;L MAX;Miro LIGHT;ADHESIVE 40;ADHESIVE 60;ADHESIVE 80;ADHESIVE 100;Защелка для  DUAL MINI;Защелка для LIGHT MINI;;;;;;;;;;;;;;;;;;;;;;
;Теневой плинтус;Теневой плинтус;Многоуровневый профиль;Многоуровневый профиль;Многоуровневый профиль;Многоуровневый профиль;Теневая рейка;Теневая рейка;Теневая рейка;Теневой плинтус;Скрытый плинтус;Скрытый плинтус;Теневой плинтус;Теневой плинтус;Теневой плинтус;Теневой плинтус;Теневая рейка;Теневая рейка;Теневой потолочный карниз;Теневой потолочный карниз;Теневой потолочный карниз;Потолочная гардина;Теневой потолочный карниз;Теневой плинтус;Теневой плинтус;Теневой плинтус;Теневой плинтус;Теневой плинтус;Теневой плинтус;Микроплинтус;Микроплинтус;Микроплинтус;Микроплинтус;Микроплинтус;Микроплинтус;Алюминиевый плинтус;Алюминиевый плинтус;Алюминиевый плинтус;Алюминиевый плинтус;Теневая рейка;Теневая рейка;;;;;;;;;;;;;;;;;;;;;;
Универсальный;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;-;-;-;-;-;Да;-;Да;-;-;-;-;-;-;-;;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;
Предчистовой/монтажный;Да;;;;;;Да;Да;Да;;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;-;-;;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;
Интерьерный/финишный;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;-;-;-;-;-;Да;-;-;-;-;-;-;-;-;-;;;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;;;;;;;;;;;;;;;;;;;;;;
Установка LED ленты;;;Да;Да;Да;Да;Нет;Нет;Да;Нет;;;;;;;;;;;;;;;;;;Да, без рассеивателя;Да;Нет;Нет;Нет;Нет;Нет;Да;Нет;Нет;Нет;Нет;Нет;Нет;;;;;;;;;;;;;;;;;;;;;;
Теневой зазор;15 мм/20 мм;15 мм/20 мм;;;;;;;;20;Да, без рассеивателя;Да, без рассеивателя;-;Да;Да;-;Нет;Нет;Нет;Да;Да;Нет;Нет;Да;Да;;;30 мм;60 мм;Нет;Нет;Нет;Нет;Нет;5 мм;Нет;Нет;Нет;Нет;-;-;;;;;;;;;;;;;;;;;;;;;;
Длина профиля;3 м;3 м;3 м;3 м;3 м;3 м;3 м;3 м;3 м;3м;80 мм;80 мм;19 мм;20 мм;15 мм;15 мм/20 мм;-;-;-;-;-;-;-;0/80;0/80;;;3 м;3 м;1,95 м;2,45 м;2,45 м;2,45 м;2,45 м;2,45 м;3 м;3 м;3 м;3 м;3 м;3 м;;;;;;;;;;;;;;;;;;;;;;
Варианты финишного покрытия;"Без покрытия
Анодированый
Муар
Матовый";"Без покрытия
Анодированый
Муар
Матовый";"Без покрытия
Анодированый
Муар
Матовый";"Без покрытия
Анодированый
Муар
Матовый";"Без покрытия
Анодированый
Муар
Матовый";"Без покрытия
Анодированый
Муар
Матовый";"Без покрытия
Анодированый
Муар
Матовый";"Без покрытия
Анодированый
Муар
Матовый";"Без покрытия
Анодированый
Муар
Матовый";"Без покрытия
Анодированый
Муар
Матовый";3 м;3 м;3 м;3 м;3 м;3 м;3 м;3 м;3 м;3 м;3 м;3 м;3 м;3 м;3 м;3м;3м;"Без покрытия
Анодированый
Муар
Матовый";"Без покрытия
Анодированый
Муар
Матовый";"Без покрытия
Анодированый
Муар
Матовый";"Без покрытия
Анодированый
Муар
Матовый";"Без покрытия
Анодированый
Муар
Матовый";"Без покрытия
Анодированый
Муар
Матовый";"Без покрытия
Анодированый
Муар
Матовый";"Без покрытия
Анодированый
Муар
Матовый";"Без покрытия
Анодированый
Муар
Матовый";"Без покрытия
Анодированый
Муар
Матовый";"Без покрытия
Анодированый
Муар
Матовый";"Без покрытия
Анодированый
Муар
Матовый";"Без покрытия
Анодированый
Муар
Матовый";"Без покрытия
Анодированый
Муар
Матовый";;;;;;;;;;;;;;;;;;;;;;
Варианты цветов;"Черный
Белый
Светлое золото
Цвет RAL под заказ";"Черный
Белый
Светлое золото
Цвет RAL под заказ";"Черный
Белый
Серебро
Светлое Золото
Цвет RAL под заказ";"Черный
Белый
Серебро
Светлое Золото
Цвет RAL под заказ";"Черный
Белый
Серебро
Светлое Золото
Цвет RAL под заказ";"Черный
Белый
Серебро
Светлое Золото
Цвет RAL под заказ";"Черный
Белый
Серебро
Светлое Золото
Цвет RAL под заказ";"Черный
Белый
Серебро
Светлое Золото
Цвет RAL под заказ";"Черный
Белый
Серебро
Светлое Золото
Цвет RAL под заказ";"Черный
Белый
Серебро
Цвет RAL под заказ";"Без покрытия
Анодированый
Муар
Матовый";"Без покрытия
Анодированый
Муар
Матовый";"Без покрытия
Анодированый
Муар
Матовый";"Без покрытия
Анодированый
Муар
Матовый";"Без покрытия
Анодированый
Муар
Матовый";"Без покрытия
Анодированый
Муар
Матовый";"Без покрытия
Анодированый
Муар
Матовый";"Без покрытия
Анодированый
Муар
Матовый";"Без покрытия
Муар
Матовый";"Без покрытия
Муар
Матовый";"Без покрытия
Муар
Матовый";"Без покрытия
Муар
Матовый";"Без покрытия
Муар
Матовый";"Без покрытия
Анодированый
Муар
Матовый";"Без покрытия
Анодированый
Муар
Матовый";"Без покрытия
Анодированый
Муар
Матовый";"Без покрытия
Анодированый
Муар
Матовый";"Черный
Белый
Серебро
Светлое Золото
Цвет RAL под заказ";"Черный
Белый
Серебро
Светлое Золото
Цвет RAL под заказ";"Черный
Белый
Серебро
Светлое Золото
Золото
Светлый Шампань
Шампань
Цвет RAL под заказ";"Черный
Белый
Серебро
Светлое Золото
Золото
Светлый Шампань
Шампань
Цвет RAL под заказ";"Черный
Белый
Серебро
Светлое Золото
Золото
Светлый Шампань
Шампань
Цвет RAL под заказ";"Черный
Белый
Серебро
Светлое Золото
Золото
Светлый Шампань
Шампань
Цвет RAL под заказ";"Черный
Белый
Серебро
Светлое Золото
Золото
Светлый Шампань
Шампань
Цвет RAL под заказ";"Черный
Белый
Серебро
Светлое Золото
Золото
Светлый Шампань
Шампань
Цвет RAL под заказ";"Черный
Белый
Серебро
Светлое Золото
Цвет RAL под заказ";"Черный
Белый
Серебро
Светлое Золото
Цвет RAL под заказ";"Черный
Белый
Серебро
Светлое Золото
Цвет RAL под заказ";"Черный
Белый
Серебро
Светлое Золото
Цвет RAL под заказ";"Черный
Белый
Серебро
Светлое Золото
Цвет RAL под заказ";"Черный
Белый
Серебро
Светлое Золото
Цвет RAL под заказ";;;;;;;;;;;;;;;;;;;;;;
Наличие соединительного технического паза (рельс);Нет;Нет;Да;Да;Да;Да;Нет;Нет;Нет;Нет;"Черный
Белый
Цвет RAL под заказ";"Черный
Белый
Цвет RAL под заказ";"Черный
Белый
Цвет RAL под заказ";"Черный
Белый
Цвет RAL под заказ";"Черный
Белый
Цвет RAL под заказ";"Черный
Белый
Светлое золото
Цвет RAL под заказ";"Черный
Белый
Серебро
Светлое Золото
Цвет RAL под заказ";"Черный
Белый
Серебро
Цвет RAL под заказ";"Черный
Белый
Цвет RAL под заказ";"Черный
Белый
Цвет RAL под заказ";"Черный
Белый
Цвет RAL под заказ";"Черный
Белый
Цвет RAL под заказ";"Черный
Белый
Цвет RAL под заказ";"Черный
Белый
Серебро
Светлое Золото
Цвет RAL под заказ";"Черный
Белый
Серебро
Светлое Золото
Цвет RAL под заказ";"Черный
Белый
Серебро
Светлое Золото
Цвет RAL под заказ";"Черный
Белый
Серебро
Светлое Золото
Цвет RAL под заказ";Нет;Нет;Нет;Нет;Нет;Нет;Нет;Да;Нет;Нет;Нет;Нет;Нет;Нет;;;;;;;;;;;;;;;;;;;;;;
